0,2017 BMW,4 SERIES,430i Coupe 2D,"4-Cyl, SULEV, 2.0T",23 City / 34 Hwy,White,Brown,"Auto, 8-Spd Sport",2 Door Coupe,2,"$25,990","41,592 miles"
1,2018 GMC,ACADIA,SLE-1 Sport Utility 4D,"4-Cyl, 2.5 Liter",21 City / 26 Hwy,Silver,Jet Black,"Automatic, 6-Spd",4 Door SUV,1,"$20,590","52,550 miles"
2,2017 CHRYSLER,PACIFICA,Touring-L Minivan 4D,"V6, 3.6 Liter",18 City / 28 Hwy,Burgundy,Dk. Gray,"Automatic, 9-Spd",4 Door Minivan,1,"$21,990","28,520 miles"
3,2017 LINCOLN,MKZ,Select Hybrid Sedan 4D,"4-Cyl, Hybrid, 2.0 Liter",41 City / 38 Hwy,Silver,Ebony Leather,"Automatic, CVT",4 Door Sedan,1,"$20,990","49,495 miles"
4,2016 TOYOTA,PRIUS,Four Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",54 City / 50 Hwy,Gray,Black,"Automatic, CVT",4 Door Hatchback,1,"$17,990","55,435 miles"
5,2016 INFINITI,QX50,Sport Utility 4D,"V6, 3.7 Liter",17 City / 24 Hwy,Silver,Graphite,"Auto, 7-Spd Rev Matching",4 Door SUV,1,"$19,990","65,794 miles"
6,2018 SUBARU,IMPREZA,2.0i Sedan 4D,"4-Cyl, 2.0 Liter",28 City / 38 Hwy,Black,Black,"Automatic, CVT W/Lineartronic & Manual Modes",4 Door Sedan,1,"$16,990","29,918 miles"
7,2014 CHEVROLET,SILVERADO 1500 CREW CAB,LT Pickup 4D 5 3/4 ft,V8 EcoTec3 Flex Fuel 5.3L,16 City / 23 Hwy,White,Black,"Auto, 6-Spd HD Overdrive",4 Door Truck,1,"$29,990","49,888 miles"
8,2017 INFINITI,QX60,3.5 Sport Utility 4D,"V6, 3.5 Liter",19 City / 26 Hwy,White,Wheat,"Automatic, CVT W/Manual Mode",4 Door SUV,1,"$27,990","29,769 miles"
9,2017 CHEVROLET,SILVERADO 1500 DOUBLE CAB,LT Pickup 4D 6 1/2 ft,"V8, EcoTec3, FF, 5.3L",16 City / 22 Hwy,Blue,Jet Black,"Auto, 6-Spd HD Overdrive",4 Door Truck,1,"$29,990","26,697 miles"
10,2017 NISSAN,ALTIMA,2.5 SV Sedan 4D,"4-Cyl, 2.5 Liter",27 City / 39 Hwy,Black,Charcoal,"Automatic, Xtronic CVT",4 Door Sedan,1,"$15,590","46,015 miles"
11,2016 SUBARU,LEGACY,2.5i Limited Sedan 4D,"4-Cyl, 2.5 Liter",26 City / 36 Hwy,Gray,Black,"Auto, CVT W/Manual Mode",4 Door Sedan,1,"$16,990","69,278 miles"
12,2017 FORD,EXPEDITION EL,XLT Sport Utility 4D,"V6, EcoBoost, TT, 3.5L",15 City / 20 Hwy,White,Ebony Cloth Blacket Seats,"Auto, 6-Spd SelectShift",4 Door SUV,1,"$26,990","70,882 miles"
13,2018 FORD,EDGE,SE Sport Utility 4D,"4-Cyl, EcoBoost, 2.0L",21 City / 29 Hwy,Silver,Black,"Auto, 6-Spd SelShft",4 Door SUV,1,"$16,990","65,275 miles"
14,2010 LEXUS,IS,IS 250 Sport Sedan 4D,"V6, 2.5 Liter",20 City / 26 Hwy,Blue,Off White,"Automatic, 6-Spd W/Overdrive",4 Door Sedan,1,"$15,990","74,423 miles"
15,2020 BUICK,ENCLAVE,Essence Sport Utility 4D,"V6, 3.6 Liter",18 City / 26 Hwy,White,Shale With Ebony Interior Accents,"Automatic, 9-Spd",4 Door SUV,1,"$32,590","19,533 miles"
16,2019 MITSUBISHI,OUTLANDER SPORT,ES Sport Utility 4D,"4-Cyl, 2.0 Liter",24 City / 30 Hwy,Gray,Black,"Automatic, CVT W/Sportronic",4 Door SUV,2,"$16,590","22,607 miles"
17,2018 CADILLAC,ATS,Coupe 2D,"4-Cyl, Turbo, 2.0 Liter",22 City / 30 Hwy,White,Jet Black With Jet Black Accents,"Automatic, 8-Spd",2 Door Coupe,1,"$27,990","32,441 miles"
18,2014 INFINITI,Q50,3.7 Sedan 4D,"V6, 3.7 Liter",20 City / 29 Hwy,White,Black,"Auto, 7-Spd W/Manual Mode",4 Door Sedan,1,"$16,990","83,678 miles"
19,2018 CHRYSLER,300,300S Sedan 4D,"V6, 3.6 Liter",19 City / 30 Hwy,Blue,Black,"Automatic, 8-Spd",4 Door Sedan,1,"$22,990","38,254 miles"
20,2018 MAZDA,CX-3,Grand Touring Sport Utility 4D,"4-Cyl, SKYACTIV-G, 2.0 Liter",27 City / 32 Hwy,Red,Parchment,"Auto, 6-Spd Manual Spt",4 Door SUV,1,"$19,990","44,830 miles"
21,2018 TOYOTA,4RUNNER,SR5 Sport Utility 4D,"V6, 4.0 Liter",17 City / 21 Hwy,White,Black,"Automatic, 5-Spd W/Sequential Shift",4 Door SUV,1,"$29,590","60,753 miles"
22,2018 LEXUS,ES,ES 350 Sedan 4D ,"V6, 3.5 Liter",21 City / 30 Hwy,Black,Beige,"Auto, 6-Spd Seq Shft",4 Door Sedan,2,"$27,990"," 35,954 miles"
23,2019 CHEVROLET,SPARK,LS Hatchback 4D,"4-Cyl, ECOTEC, 1.4 Liter",30 City / 38 Hwy,Silver,Jet Black,"Automatic, CVT",4 Door Hatchback,1,"$12,990","18,804 miles"
24,2019 MITSUBISHI,ECLIPSE CROSS,ES Sport Utility 4D,"4-Cyl, Turbo, 1.5 Liter",26 City / 29 Hwy,Black,Black,"Automatic, CVT W/Sport Mode",4 Door SUV,1,"$16,990","29,389 miles"
25,2017 KIA,NIRO,EX Wagon 4D,"4-Cyl, Hybrid, 1.6 Liter",51 City / 46 Hwy,Burgundy,Gray,"Auto, 6-Spd W/Dl Clch Spt",4 Door Wagon,2,"$17,990","35,293 miles"
26,2016 MINI,HARDTOP 4 DOOR,Cooper S Hatchback 4D,"4-Cyl, Turbo, 2.0 Liter",25 City / 33 Hwy,Black,Black Leatherette,"Auto, 6-Spd Steptronic",4 Door Hatchback,1,"$18,990","30,572 miles"
27,2015 MINI,HARDTOP 2 DOOR,Cooper Hatchback 2D,"3-Cyl, Turbo, 1.5 Liter",28 City / 37 Hwy,Black,Black,"Auto, 6-Spd Steptronic",2 Door Hatchback,1,"$13,990","51,858 miles"
28,2018 CADILLAC,XT5,Luxury Sport Utility 4D ,"V6, 3.6 Liter",19 City / 26 Hwy,White,Sahara Beige,"Automatic, 8-Spd",4 Door SUV,2,"$27,990"," 31,298 miles"
29,2017 BUICK,ENVISION,Premium I Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",20 City / 26 Hwy,Purple,Light Neutral,"Auto, 6-Spd W/DSC",4 Door SUV,1,"$25,990","8,784 miles"
30,2020 CHRYSLER,PACIFICA,Touring L Minivan 4D,"V6, 3.6 Liter",19 City / 28 Hwy,Black,Black,"Automatic, 9-Spd",4 Door Minivan,1,"$26,990","27,340 miles"
31,2019 NISSAN,ROGUE SPORT,S Sport Utility 4D,"4-Cyl, 2.0 Liter",24 City / 30 Hwy,Black,Black,"Automatic, CVT W/Xtronic",4 Door SUV,1,"$17,990","31,770 miles"
32,2019 INFINITI,Q70,3.7 Luxe Sedan 4D ,"V6, 3.7 Liter",18 City / 25 Hwy,Blue,Beige,"Auto, 7-Spd Manual",4 Door Sedan,1,"$28,590"," 14,509 miles"
33,2019 NISSAN,KICKS,SV Sport Utility 4D,"4-Cyl, 1.6 Liter",31 City / 36 Hwy,White,Charcoal,"Auto, CVT Xtronic",4 Door SUV,1,"$16,990","16,234 miles"
34,2020 CHEVROLET,SPARK,LS Hatchback 4D,"4-Cyl, ECOTEC, 1.4 Liter",30 City / 38 Hwy,Gray,Black,"Automatic, CVT",4 Door Hatchback,2,"$13,990","13,960 miles"
35,2018 KIA,FORTE,LX Sedan 4D,"4-Cyl, 2.0 Liter",29 City / 37 Hwy,Black,Black,"Automatic, 6-Spd W/Sportmatic",4 Door Sedan,1,"$13,990","62,400 miles"
36,2016 VOLKSWAGEN,BEETLE,1.8T S Hatchback 2D,"4-Cyl, Turbo, 1.8 Liter",25 City / 34 Hwy,White,Black,"Auto, 6-Spd Tiptronic SM",2 Door Hatchback,2,"$16,990","26,207 miles"
37,2017 VOLKSWAGEN,GOLF,TSI Wolfsburg Edition Hatchback Sedan 4D,"4-Cyl, Turbo, 1.8 Liter",25 City / 35 Hwy,Black,Black,Auto 6-Spd W/Tptrnc & Spt,4 Door Sedan,1,"$16,990","38,103 miles"
38,2013 FORD,FUSION,Titanium Sedan 4D,4-Cyl EcoBoost Turbo 2.0L,22 City / 33 Hwy,Green,Charcoal Blk Lthr Trim Seat,"Automatic, 6-Spd",4 Door Sedan,1,"$13,990","68,180 miles"
39,2011 TOYOTA,AVALON,Sedan 4D,"V6, 3.5 Liter",20 City / 29 Hwy,Beige,Tan,"Automatic, 6-Spd W/Overdrive",4 Door Sedan,1,"$13,990","73,223 miles"
40,2018 CHEVROLET,SPARK,LS Hatchback 4D,"4-Cyl, ECOTEC, 1.4L",29 City / 39 Hwy,White,Black,"Manual, 5-Spd",4 Door Hatchback,2,"$11,990","22,378 miles"
41,2018 NISSAN,FRONTIER CREW CAB,SV Pickup 4D 5 ft,"V6, 4.0 Liter",16 City / 23 Hwy,Black,Lt. Gray,"Automatic, 5-Spd",4 Door Truck,2,"$22,990","37,890 miles"
42,2014 CHEVROLET,SILVERADO 1500 CREW CAB,LT Pickup 4D 5 3/4 ft,"V6, EcoTec3, FF, 4.3L",17 City / 22 Hwy,White,Black,"Auto, 6-Spd HD Overdrive",4 Door Truck,1,"$28,990","72,077 miles"
43,2013 BMW,5 SERIES,535i xDrive Sedan 4D,"6-Cyl, Turbo, 3.0 Liter",21 City / 30 Hwy,Black,Brown,Auto 8-Spd Stptrnc Spt MM,4 Door Sedan,1,"$18,990","76,152 miles"
