,0
0,1620667
1,1620584
2,1619611
3,1619525
4,1619357
5,1619158
6,1619130
7,1619086
8,1619082
9,1618991
10,1618969
11,1618952
12,1618928
13,1618919
14,1618801
15,1618791
16,1618784
17,1618553
18,1618432
19,1618368
20,1618339
21,1618318
22,1618264
23,1618180
24,1618139
25,1618060
26,1618043
27,1618025
28,1618011
29,1617995
30,1617916
31,1617895
32,1617855
33,1617834
34,1617795
35,1617717
36,1617697
37,1617687
38,1617683
39,1617648
40,1617645
41,1617631
42,1617628
43,1617603
44,1617580
45,1617568
46,1617512
47,1617470
48,1617468
49,1617435
50,1617428
51,1617423
52,1617417
53,1617397
54,1617359
55,1617348
56,1617333
57,1617303
58,1617300
59,1617296
60,1617265
61,1617260
62,1617235
63,1617216
64,1617211
65,1617149
66,1617107
67,1617031
68,1617004
69,1617002
70,1617000
71,1616989
72,1616922
73,1616895
74,1616877
75,1616856
76,1616843
77,1616822
78,1616811
79,1616797
80,1616779
81,1616764
82,1616744
83,1616702
84,1616667
85,1616658
86,1616642
87,1616635
88,1616608
89,1616589
90,1616585
91,1616568
92,1616560
93,1616521
94,1616517
95,1616434
96,1616432
97,1616404
98,1616377
99,1616357
100,1616353
101,1616336
102,1616330
103,1616301
104,1616299
105,1616295
106,1616293
107,1616265
108,1616257
109,1616251
110,1616245
111,1616167
112,1616148
113,1616122
114,1616092
115,1616085
116,1616079
117,1616074
118,1616049
119,1616033
120,1616012
121,1616008
122,1615997
123,1615984
124,1615851
125,1615850
126,1615826
127,1615824
128,1615810
129,1615801
130,1615795
131,1615791
132,1615786
133,1615784
134,1615759
135,1615718
136,1615717
137,1615666
138,1615656
139,1615636
140,1615634
141,1615623
142,1615540
143,1615531
144,1615524
145,1615523
146,1615516
147,1615505
148,1615499
149,1615487
150,1615476
151,1615455
152,1615450
153,1615437
154,1615395
155,1615385
156,1615370
157,1615358
158,1615346
159,1615334
160,1615309
161,1615300
162,1615277
163,1615272
164,1615265
165,1615260
166,1615252
167,1615242
168,1615238
169,1615231
170,1615219
171,1615203
172,1615196
173,1615169
174,1615151
175,1615140
176,1615112
177,1615090
178,1615060
