0,2013 LEXUS,GS,GS 350 Sedan 4D,"V6, 3.5 Liter",19 City / 28 Hwy,Gray,Brown,"Automatic, 6-Spd",4 Door Sedan,1,"$25,990","| 32,049 miles"
1,2013 KIA,OPTIMA,LX Sedan 4D,"4-Cyl, 2.4 Liter",24 City / 35 Hwy,Silver,Gray,"Auto, 6-Spd Sportmatic",4 Door Sedan,2,"$11,590","| 99,320 miles"
2,2012 VOLKSWAGEN,JETTA,2.5L SE Sedan 4D,"5-Cyl, PZEV, 2.5 Liter",24 City / 31 Hwy,Gray,Black,Auto 6-Spd W/Tptrnc & Spt,4 Door Sedan,1,"$10,590","| 86,980 miles"
3,2013 TOYOTA,CAMRY,LE Sedan 4D,"4-Cyl, 2.5 Liter",25 City / 35 Hwy,Gray,Tan,"Automatic, 6-Spd",4 Door Sedan,1,"$12,990","| 78,488 miles"
4,2013 MAZDA,MAZDA3,i Sport Sedan 4D,"4-Cyl, SKYACTIV-G, 2.0L",28 City / 40 Hwy,Black,Black,"Auto, 6-Spd W/MM",4 Door Sedan,2,"$10,990","| 62,081 miles"
5,2014 FORD,FOCUS,SE Sedan 4D,"4-Cyl, PZEV, 2.0 Liter",27 City / 37 Hwy,Red,Med Light Stone Cloth Seats,"Auto, 6-Spd Pwr/SelShift",4 Door Sedan,1,"$10,590","| 78,152 miles"
6,2014 FORD,ESCAPE,Titanium Sport Utility 4D,"4-Cyl, EcoBoost, 2.0L",22 City / 30 Hwy,Black,Charcoal Black Leather Seat,"Auto, 6-Spd W/SelShft",4 Door SUV,1,"$14,590","| 85,032 miles"
7,2016 SCION,FR-S,Coupe 2D,"4-Cyl, 2.0 Liter",25 City / 34 Hwy,White,Black,"Auto, 6-Spd Dyn Rev Mgmt",2 Door Coupe,1,"$17,990","| 68,781 miles"
8,2014 CHEVROLET,EQUINOX,LT Sport Utility 4D,"4-Cyl, 2.4 Liter",22 City / 32 Hwy,Red,Black,"Automatic, 6-Spd",4 Door SUV,1,"$15,590","| 41,054 miles"
9,2012 FORD,FOCUS,SE Sedan 4D,"4-Cyl, 2.0 Liter",27 City / 37 Hwy,Red,Charcoal Black Cloth Seats,"Auto, 6-Spd W/SelShft",4 Door Sedan,1,"$8,990","| 93,782 miles"
10,2016 NISSAN,SENTRA,SV Sedan 4D,"4-Cyl, 1.8 Liter",29 City / 38 Hwy,Silver,Dk. Gray,"Automatic, CVT W/Xtronic",4 Door Sedan,1,"$12,990","| 33,214 miles"
11,2011 MINI,HARDTOP,Cooper Hatchback 2D,"4-Cyl, 1.6 Liter",28 City / 36 Hwy,Red,Black,"Auto, 6-Spd Steptronic",2 Door Hatchback,1,"$10,990","| 76,176 miles"
12,2011 NISSAN,MURANO,SL Sport Utility 4D,"V6, 3.5 Liter",18 City / 23 Hwy,Brown,Beige,"Automatic, CVT",4 Door SUV,1,"$12,990","| 95,128 miles"
13,2013 VOLKSWAGEN,CC,Sport Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 31 Hwy,Blue,Beige,"Automatic, 6-Spd DSG W/Tiptronic",4 Door Sedan,1,"$12,990","| 41,570 miles"
14,2013 VOLKSWAGEN,PASSAT,2.5L SE Sedan 4D,"5-Cyl, 2.5 Liter",22 City / 31 Hwy,Black,Beige,"Auto, 6-Spd Tiptronic",4 Door Sedan,1,"$11,990","| 70,269 miles"
15,2017 RAM,1500 QUAD CAB,Big Horn Pickup 4D 6 1/3 ft,"V8, HEMI, 5.7 Liter",15 City / 22 Hwy,Black,Black,"Automatic, 8-Spd",4 Door Truck,1,"$26,990","| 52,389 miles"
16,2014 HONDA,CIVIC,EX-L Sedan 4D,"4-Cyl, I-VTEC, 1.8 Liter",30 City / 39 Hwy,Gray,Gray,"Automatic, CVT",4 Door Sedan,1,"$14,590","| 64,928 miles"
17,2011 TOYOTA,CAMRY,LE Sedan 4D,"4-Cyl, 2.5 Liter",22 City / 32 Hwy,Gray,Gray,"Automatic, 6-Spd W/Overdrive",4 Door Sedan,1,"$11,590","| 94,054 miles"
18,2015 FORD,ESCAPE,Titanium Sport Utility 4D,"4-Cyl, EcoBoost, 2.0T",21 City / 28 Hwy,Blue,Charcoal Black Lthr Seats,"Auto, 6-Spd W/SelShft",4 Door SUV,1,"$18,590","| 37,350 miles"
19,2015 BMW,5 SERIES,528i Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",23 City / 34 Hwy,Black,Black,"Auto, 8-Spd Stptnc Manual",4 Door Sedan,2,"$18,990","| 76,000 miles"
20,2014 INFINITI,Q50,S Hybrid Sedan 4D,"V6, Hybrid, 3.5 Liter",28 City / 34 Hwy,Gray,Lt. Gray,"Auto, 7-Spd W/Manual Mode",4 Door Sedan,1,"$16,990","| 82,969 miles"
21,2014 FORD,ESCAPE,SE Sport Utility 4D,"4-Cyl, EcoBoost, 1.6L",23 City / 32 Hwy,White,Med Light Stone Cloth Seats,"Auto, 6-Spd W/SelShft",4 Door SUV,1,"$13,590","| 68,198 miles"
22,2013 AUDI,A5,2.0T Premium Coupe 2D,"4-Cyl, Turbo, 2.0 Liter",20 City / 30 Hwy,White,Black,"Auto, 8-Spd Tiptronic",2 Door Coupe,1,"$19,990","| 46,871 miles"
23,2013 HYUNDAI,ELANTRA,Limited Sedan 4D,"4-Cyl, 1.8 Liter",28 City / 38 Hwy,Blue,Beige,"Auto, 6-Spd W/Shftrnc",4 Door Sedan,1,"$12,590","| 55,925 miles"
24,2014 CHEVROLET,CAMARO,LS Coupe 2D,"V6, 3.6 Liter",17 City / 28 Hwy,White,Black,"Manual, 6-Spd",2 Door Coupe,1,"$16,990","| 53,173 miles"
25,2014 CHEVROLET,TRAVERSE,LS Sport Utility 4D,"V6, 3.6 Liter",17 City / 24 Hwy,Gray,Dk. Gray,"Automatic, 6-Spd",4 Door SUV,1,"$13,590","| 104,791 miles"
26,2015 JEEP,COMPASS,High Altitude Edition Sport Utility 4D,"4-Cyl, 2.0 Liter",22 City / 27 Hwy,Silver,Black,"Automatic, CVT",4 Door SUV,1,"$17,590","| 18,869 miles"
27,2014 KIA,RIO,LX Sedan 4D,"4-Cyl, 1.6 Liter",27 City / 37 Hwy,Black,Black,"Automatic, 6-Spd",4 Door Sedan,1,"$10,990","| 60,836 miles"
