0,2014 BMW,5 SERIES,535i Gran Turismo xDrive Sedan 4D,"6-Cyl, Turbo, 3.0 Liter",18 City / 26 Hwy,Gray,Gray,"Auto, 8-Spd Stptnc Manual",4 Door Sedan,1,"$22,990","57,430 miles"
1,2015 MINI,HARDTOP 2 DOOR,Cooper S Hatchback 2D,"4-Cyl, Turbo, 2.0 Liter",26 City / 33 Hwy,White,Black,"Automatic, 6-Spd",2 Door Hatchback,2,"$15,990","36,639 miles"
2,2017 LINCOLN,MKC,Premiere Sport Utility 4D,"4-Cyl, EcoBoost, 2.0T",19 City / 25 Hwy,Silver,Lincoln Soft Touch Cappucci,"Auto, 6-Spd SelectShift",4 Door SUV,2,"$19,990","21,578 miles"
3,2018 LEXUS,NX,300 Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",22 City / 28 Hwy,White,Other,"Auto, 6-Spd W/Multi-Mode",4 Door SUV,2,"$28,990"," 34,753 miles"
4,2016 CHRYSLER,200,Limited Sedan 4D,"4-Cyl, MultiAir PZEV 2.4L",23 City / 36 Hwy,Blue,Black,"Automatic, 9-Spd",4 Door Sedan,2,"$14,590","29,490 miles"
5,2018 INFINITI,Q60,3.0t Luxe Coupe 2D,"V6, Twin Turbo, 3.0 Liter",19 City / 28 Hwy,White,Black,"Auto, 7-Spd W/Manual Md",2 Door Coupe,1,"$31,990","26,962 miles"
6,2018 BMW,X1,xDrive28i Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 31 Hwy,White,Black,"Auto, 8-Spd Sport",4 Door SUV,1,"$24,990","43,818 miles"
7,2014 HONDA,ODYSSEY,Touring Elite Minivan 4D,"V6, I-VTEC, 3.5 Liter",19 City / 28 Hwy,Black,Gray,"Automatic, 6-Spd",4 Door Minivan,2,"$20,990","66,666 miles"
8,2017 BMW,5 SERIES,530i xDrive Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",23 City / 33 Hwy,Silver,Blue,"Automatic, 8-Spd Sport",4 Door Sedan,1,"$30,990"," 29,573 miles"
9,2014 AUDI,A4,Premium Plus Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",20 City / 29 Hwy,Blue,Black,"Auto, 8-Spd Tiptronic",4 Door Sedan,2,"$16,990","64,336 miles"
10,2013 AUDI,A4,Premium Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",24 City / 31 Hwy,Blue,Gray,"Auto, CVT Multitronic",4 Door Sedan,2,"$16,590","44,408 miles"
11,2017 BMW,X1,xDrive28i Sport Utility 4D ,"4-Cyl, Twin Turbo, 2.0L",22 City / 31 Hwy,Black,Black Perforated Dakota Leathe,Auto 8-Spd Stptrnc Manual,4 Door SUV,1,"$24,990"," 29,512 miles"
12,2020 CADILLAC,XT4,Premium Luxury Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",22 City / 29 Hwy,Silver,Jet Black,"Automatic, 9-Spd",4 Door SUV,2,"$34,990"," 9,018 miles"
13,2017 AUDI,A4,Premium Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",24 City / 31 Hwy,Gray,Black,"Auto, 7-Spd S Tronic",4 Door Sedan,2,"$23,990"," 22,996 miles"
14,2017 NISSAN,JUKE,S Sport Utility 4D,"4-Cyl, Turbo, 1.6 Liter",28 City / 32 Hwy,Gray,Black,"Automatic, CVT W/Xtronic",4 Door SUV,1,"$14,990","25,332 miles"
